prior_name,base_model,dc_solution,base_solution,anchor_type,comparison,log_odds_median,log_odds_l95,log_odds_u95,OR_median,OR_l95,OR_u95,posterior_probability_OR_gt_1,posterior_probability_OR_lt_1,conclusion
regularizing,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.861163274676324,-0.11448982050376236,1.7934334608507052,2.365911381442254,0.8918210184730165,6.010052363946064,0.95675,0.04325,uncertain
regularizing,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,4.11566500970889,3.2854469041528307,5.002094930025476,61.29296137912942,26.720924602859824,148.72440022050887,1,0,higher under Anchor
regularizing,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,-0.5513174543467572,-1.8461584376637277,0.6293105071499314,0.5761902065518245,0.15784237418290026,1.8763166265273556,0.1795,0.8205,uncertain
regularizing,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,-0.5586675447301176,-1.8197308596206747,0.6145644102306398,0.5719706841934148,0.16206936679304637,1.8488510890539571,0.178875,0.821125,uncertain
regularizing,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,-0.6323957331323604,-1.8536783983516134,0.493754212255104,0.5313173805080925,0.15665984877797115,1.6384558140436996,0.13825,0.86175,uncertain
regularizing,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,3.9368018622486716,3.106249904239027,4.820331423405043,51.25442025807978,22.33712097721985,124.00618258994528,1,0,higher under Anchor
regularizing,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,0.49214275325322865,-0.519019044447491,1.413740092192652,1.635817631237151,0.5951040347967158,4.111303363547725,0.834375,0.165625,uncertain
regularizing,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,1.2456654746494955,0.34112745873294303,2.078943647905427,3.475246755657011,1.4065325407984368,7.996017845140985,0.996125,0.003875,higher under Anchor
regularizing,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,-1.0484309462135033,-1.9088661075476703,-0.25024870074201583,0.35048725124801894,0.14824838908219076,0.7786071188676186,0.00475,0.99525,lower under Anchor
regularizing,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,2.3069810132852138,1.4495113813382947,3.2337341908874087,10.044056098181173,4.261032000944627,25.374232783061927,1,0,higher under Anchor
regularizing,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.245216255949936,0.5055491909745597,2.023310077625227,3.4736859233828703,1.657895773046402,7.563318717221103,0.99975,2.5e-4,higher under Anchor
regularizing,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.9901317754581107,0.28193692300247464,1.7261936756052503,2.6915891343748495,1.3256951029012616,5.619224575814448,0.997375,0.002625,higher under Anchor
regularizing,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.0761767519989826,-1.3417389235074535,1.498085160546181,1.0791532998224107,0.26139073519049844,4.473115818957373,0.546125,0.453875,uncertain
regularizing,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,0.10374684576366104,-1.3270150976103356,1.51334528348225,1.109319591121726,0.26526788998256284,4.541899350202542,0.552875,0.447125,uncertain
regularizing,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,0.08272073816629856,-1.3497131301185776,1.5384064437460727,1.0862384914824306,0.25931476394799474,4.657164013837588,0.548375,0.451625,uncertain
regularizing,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.09085255238515612,-1.3028155492281874,1.5320341558301283,1.0951075746617729,0.2717655458154602,4.6275804772147975,0.55325,0.44675,uncertain
regularizing,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,-0.07488661323806658,-1.484470972210245,1.2808475052511694,0.9278486891906477,0.22662219885529933,3.5996891900802503,0.459625,0.540375,uncertain
regularizing,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,-0.08580186219353947,-1.5257464178195228,1.3230708014523016,0.9177760719999177,0.21745871402618208,3.7549343567888283,0.45225,0.54775,uncertain
regularizing,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,-0.08479229013855137,-1.5510214354156562,1.3441571018425975,0.9187030941270233,0.2120312869640411,3.8349527253122737,0.457625,0.542375,uncertain
regularizing,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,-0.09021879228270965,-1.5072267932596315,1.3015512532173779,0.9137315659120395,0.22152348070441594,3.6749930930376844,0.451625,0.548375,uncertain
regularizing,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,-2.000744212525915,-2.7771609393752703,-1.2724186556914403,0.13523460251603303,0.0622148893734665,0.2801532075340388,0,1,lower under Anchor
regularizing,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,1.509496798747095,0.5762143291486568,2.563048183238067,4.524453510886303,1.7792899784027272,12.975308336203556,0.999125,8.75e-4,higher under Anchor
regularizing,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,-0.9368392060893183,-1.6306593765644475,-0.22474517045999026,0.39186448316123024,0.19580042546433346,0.7987197543007791,0.00575,0.99425,lower under Anchor
regularizing,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,-2.296750832213417,-3.1230262951660235,-1.5351924277278437,0.10058513137471758,0.044023738341360384,0.21541423601689683,0,1,lower under Anchor
regularizing,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,-1.0692828782115256,-2.28314900498991,0.2126805555544753,0.3432545873375822,0.10196262634542559,1.2369894461346889,0.048375,0.951625,uncertain
regularizing,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,0.2017202369158974,-1.16342931368781,1.6029705928562907,1.2235056697917766,0.31241298204864204,4.967767942559628,0.61275,0.38725,uncertain
regularizing,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,0.19955094644420907,-1.117276438105416,1.5407761717567898,1.2208545256970629,0.3271696493369025,4.668212237786255,0.614,0.386,uncertain
regularizing,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.19159416990670786,-1.137766492506045,1.5648001577373853,1.2111788998844255,0.3205341925239778,4.781719655438773,0.602375,0.397625,uncertain
regularizing,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.0896451798761217,-1.2883635217520268,1.4955965716331392,1.093786150956562,0.2757216386499633,4.461997766258632,0.551,0.449,uncertain
regularizing,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,0.10532546403970985,-1.3001333291696324,1.5233902010688551,1.111072165671143,0.27249546146185555,4.587752263554353,0.55525,0.44475,uncertain
regularizing,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,0.09434338945125137,-1.3334972749971095,1.5746063912263033,1.0989370446066666,0.2635539279017242,4.828840576778657,0.5535,0.4465,uncertain
regularizing,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.09963923457626322,-1.3000898172470423,1.509052083590021,1.104772293202309,0.27250731727018557,4.52244188080342,0.553375,0.446625,uncertain
