prior_name,base_model,dc_solution,comparison,rating,n_observed,observed_proportion,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
regularizing,gemma3,DC connectors,CONTEXT,3,150,1,0.94,0.8866666666666667,0.98,FALSE,0.06000000000000005
regularizing,gemma3,DC connectors,CONTEXT,4,150,0,0.06,0.02,0.11333333333333333,FALSE,0.06
regularizing,gemma3,DC connectors,ANCHOR_EXAMPLE,3,30,1,0.9666666666666667,0.8666666666666667,1,TRUE,0.033333333333333326
regularizing,gemma3,DC connectors,ANCHOR_EXAMPLE,4,30,0,0.03333333333333333,0,0.13333333333333333,TRUE,0.03333333333333333
regularizing,gemma3,DC connectors,ANCHOR_WORD,3,30,0,0.23333333333333334,0.06666666666666667,0.4666666666666667,FALSE,0.23333333333333334
regularizing,gemma3,DC connectors,ANCHOR_WORD,4,30,1,0.7666666666666667,0.5333333333333333,0.9333333333333333,FALSE,0.23333333333333328
regularizing,gemma3,DC connectors,ANCHOR_NUM_HIGH,3,30,0.8666666666666667,0.9,0.7333333333333333,1,TRUE,0.033333333333333326
regularizing,gemma3,DC connectors,ANCHOR_NUM_HIGH,4,30,0.13333333333333333,0.1,0,0.26666666666666666,TRUE,0.033333333333333326
regularizing,gemma3,DC connectors,ANCHOR_NUM_LOW,3,30,0.7333333333333333,0.8,0.6,0.9666666666666667,TRUE,0.06666666666666676
regularizing,gemma3,DC connectors,ANCHOR_NUM_LOW,4,30,0.26666666666666666,0.2,0.03333333333333333,0.4,TRUE,0.06666666666666665
regularizing,gemma3,DC measurement device,CONTEXT,3,150,0.64,0.6,0.4931666666666667,0.7001666666666665,TRUE,0.040000000000000036
regularizing,gemma3,DC measurement device,CONTEXT,4,150,0.36,0.4,0.29983333333333334,0.5068333333333332,TRUE,0.040000000000000036
regularizing,gemma3,DC measurement device,ANCHOR_EXAMPLE,3,30,0.8666666666666667,0.8,0.6,0.9666666666666667,TRUE,0.06666666666666665
regularizing,gemma3,DC measurement device,ANCHOR_EXAMPLE,4,30,0.13333333333333333,0.2,0.03333333333333333,0.4,TRUE,0.06666666666666668
regularizing,gemma3,DC measurement device,ANCHOR_WORD,3,30,0,0.13333333333333333,0,0.3,TRUE,0.13333333333333333
regularizing,gemma3,DC measurement device,ANCHOR_WORD,4,30,1,0.8666666666666667,0.7,1,TRUE,0.1333333333333333
regularizing,gemma3,DC measurement device,ANCHOR_NUM_HIGH,3,30,0.23333333333333334,0.3,0.1,0.5333333333333333,TRUE,0.06666666666666665
regularizing,gemma3,DC measurement device,ANCHOR_NUM_HIGH,4,30,0.7666666666666667,0.7,0.4666666666666667,0.9,TRUE,0.06666666666666676
regularizing,gemma3,DC measurement device,ANCHOR_NUM_LOW,3,30,0.3,0.36666666666666664,0.13333333333333333,0.6,TRUE,0.06666666666666665
regularizing,gemma3,DC measurement device,ANCHOR_NUM_LOW,4,30,0.7,0.6333333333333333,0.4,0.8666666666666667,TRUE,0.06666666666666665
regularizing,gemma3,DC solution design tool,CONTEXT,3,150,0,0,0,0.02,TRUE,0
regularizing,gemma3,DC solution design tool,CONTEXT,4,150,1,1,0.98,1,TRUE,0
regularizing,gemma3,DC solution design tool,ANCHOR_EXAMPLE,3,30,0,0,0,0.03333333333333333,TRUE,0
regularizing,gemma3,DC solution design tool,ANCHOR_EXAMPLE,4,30,1,1,0.9666666666666667,1,TRUE,0
