prior_name,base_model,dc_solution,condition,rating,n_observed,observed_proportion,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
regularizing,gemma3,DC connectors,ZEROSHOT,2,150,0,0,0,0,TRUE,0
regularizing,gemma3,DC connectors,ZEROSHOT,3,150,0.04666666666666667,0.12,0.06,0.19333333333333333,FALSE,0.07333333333333333
regularizing,gemma3,DC connectors,ZEROSHOT,4,150,0.9533333333333334,0.88,0.8066666666666666,0.94,FALSE,0.07333333333333336
regularizing,gemma3,DC connectors,CONTEXT,2,150,0,0.013333333333333334,0,0.04666666666666667,TRUE,0.013333333333333334
regularizing,gemma3,DC connectors,CONTEXT,3,150,1,0.92,0.8533333333333334,0.9668333333333332,FALSE,0.07999999999999996
regularizing,gemma3,DC connectors,CONTEXT,4,150,0,0.06666666666666667,0.02,0.12666666666666668,FALSE,0.06666666666666667
regularizing,gemma3,DC measurement device,ZEROSHOT,2,150,0,0,0,0.006666666666666667,TRUE,0
regularizing,gemma3,DC measurement device,ZEROSHOT,3,150,0,0.05333333333333334,0.02,0.10666666666666667,FALSE,0.05333333333333334
regularizing,gemma3,DC measurement device,ZEROSHOT,4,150,1,0.9466666666666667,0.8933333333333333,0.98,FALSE,0.053333333333333344
regularizing,gemma3,DC measurement device,CONTEXT,2,150,0,0.006666666666666667,0,0.04,TRUE,0.006666666666666667
regularizing,gemma3,DC measurement device,CONTEXT,3,150,0.64,0.5866666666666667,0.4666666666666667,0.6933333333333334,TRUE,0.053333333333333344
regularizing,gemma3,DC measurement device,CONTEXT,4,150,0.36,0.4,0.29333333333333333,0.5266666666666666,TRUE,0.040000000000000036
regularizing,gemma3,DC solution design tool,ZEROSHOT,2,150,0,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
regularizing,gemma3,DC solution design tool,ZEROSHOT,3,150,0,0,0,0.02666666666666667,TRUE,0
regularizing,gemma3,DC solution design tool,ZEROSHOT,4,150,1,0.9933333333333333,0.96,1,TRUE,0.00666666666666671
regularizing,gemma3,DC solution design tool,CONTEXT,2,150,0,0,0,0.02,TRUE,0
regularizing,gemma3,DC solution design tool,CONTEXT,3,150,0,0,0,0.02,TRUE,0
regularizing,gemma3,DC solution design tool,CONTEXT,4,150,1,0.9933333333333333,0.9733333333333334,1,TRUE,0.00666666666666671
regularizing,gemma3,DC-DC converter,ZEROSHOT,2,150,0,0,0,0,TRUE,0
regularizing,gemma3,DC-DC converter,ZEROSHOT,3,150,0,0.08,0.02666666666666667,0.14666666666666667,FALSE,0.08
regularizing,gemma3,DC-DC converter,ZEROSHOT,4,150,1,0.92,0.8533333333333334,0.9733333333333334,FALSE,0.07999999999999996
regularizing,gemma3,DC-DC converter,CONTEXT,2,150,0,0.013333333333333334,0,0.04666666666666667,TRUE,0.013333333333333334
regularizing,gemma3,DC-DC converter,CONTEXT,3,150,1,0.9133333333333333,0.8466666666666667,0.96,FALSE,0.08666666666666667
regularizing,gemma3,DC-DC converter,CONTEXT,4,150,0,0.07333333333333333,0.02666666666666667,0.13333333333333333,FALSE,0.07333333333333333
regularizing,gemma3,LVAC-LVDC interlink converter,ZEROSHOT,2,150,0,0,0,0.006666666666666667,TRUE,0
regularizing,gemma3,LVAC-LVDC interlink converter,ZEROSHOT,3,150,0.3333333333333333,0.3933333333333333,0.28,0.5,TRUE,0.06
regularizing,gemma3,LVAC-LVDC interlink converter,ZEROSHOT,4,150,0.6666666666666666,0.6066666666666667,0.49983333333333335,0.72,TRUE,0.05999999999999994
regularizing,gemma3,LVAC-LVDC interlink converter,CONTEXT,2,150,0,0.006666666666666667,0,0.04,TRUE,0.006666666666666667
regularizing,gemma3,LVAC-LVDC interlink converter,CONTEXT,3,150,1,0.94,0.88,0.98,FALSE,0.06000000000000005
regularizing,gemma3,LVAC-LVDC interlink converter,CONTEXT,4,150,0,0.05333333333333334,0.013333333333333334,0.10666666666666667,FALSE,0.05333333333333334
regularizing,gemma3,Network design tool for DC solutions,ZEROSHOT,2,150,0,0,0,0.02666666666666667,TRUE,0
regularizing,gemma3,Network design tool for DC solutions,ZEROSHOT,3,150,0.26,0.26666666666666666,0.17983333333333332,0.36666666666666664,TRUE,0.006666666666666654
regularizing,gemma3,Network design tool for DC solutions,ZEROSHOT,4,150,0.74,0.7266666666666667,0.6331666666666667,0.82,TRUE,0.013333333333333308
regularizing,gemma3,Network design tool for DC solutions,CONTEXT,2,150,0,0,0,0.02,TRUE,0
regularizing,gemma3,Network design tool for DC solutions,CONTEXT,3,150,0.24666666666666667,0.24,0.15316666666666667,0.34,TRUE,0.006666666666666682
regularizing,gemma3,Network design tool for DC solutions,CONTEXT,4,150,0.7533333333333333,0.7533333333333333,0.6533333333333333,0.8466666666666667,TRUE,0
regularizing,gemma3,Protection DC system design tool,ZEROSHOT,2,150,0,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
